Case.Number,OBJECTID,Part,Description,zoning_old,zoning_new,acres,n_sfd,n_sfa,n_mfd,n_unknown,n_affordable,n_age_restrict
REZ2022-00007,75369,,"RIVERSIDE STATION LAND BAY A - THE ABOVE REFERENCED REQUESTS CONSIST OF TWO SEPARATE REZONING APPLICATIONS IDENTIFIED AS RIVERSIDE STATION LAND BAY A AND RIVERSIDE STATION LAND BAY B. MORE SPECIFICALLY, RIVERSIDE STATION LAND BAY A IS A REQUEST TO REZONE 6.30 ACRES FROM THE B-1, GENERAL BUSINESS, TO THE PMD, PLANNED MIXED USE DISTRICT, TO PERMIT UP TO 330 DWELLING UNITS AND 40,000 SQUARE FEET OF NON-RESIDENTIAL USES ON PROPERTIES IDENTIFIED AS GPINS 8392-95-9150, 8392-95-8090 AND 8392-95-6684. RIVERSIDE STATION LAND BAY B IS A REQUEST TO REZONE 12.95 ACRES FROM THE B-1, GENERAL BUSINESS, TO THE PMD, PLANNED MIXED USE DISTRICT, TO PERMIT UP TO 640 DWELLING UNITS AND 90,000 SQUARE FEET OF NON-RESIDENTIAL USES ON PROPERTIES IDENTIFIED AS GPINS 8392-96-9852 AND 8492-06-2030. ASSOCIATED WITH THESE REQUESTS ARE NUMEROUS WAIVERS AND MODIFICATIONS. COLLECTIVELY, THE TWO SITES ARE LOCATED IN THE NORTHWEST QUADRANT OF OCCOQUAN RD. AND JEFFERSON DAVIS HWY.  THE SITES ARE DESIGNATED TC, TOWN CENTER IN THE COMPREHENSIVE PLAN AND ARE LOCATED IN THE NORTH WOODBRIDGE SMALL AREA PLAN AND REDEVELOPMENT OVERLAY DISTRICT. WOODBRIDGE MAGISTERIAL DISTRICT",B-1,PMD,6.3,,,,330,,
REZ2022-00008,75374,,"RIVERSIDE STATION LAND BAY B - THE ABOVE REFERENCED REQUESTS CONSIST OF TWO SEPARATE REZONING APPLICATIONS IDENTIFIED AS RIVERSIDE STATION LAND BAY A AND RIVERSIDE STATION LAND BAY B. MORE SPECIFICALLY, RIVERSIDE STATION LAND BAY A IS A REQUEST TO REZONE 6.30 ACRES FROM THE B-1, GENERAL BUSINESS, TO THE PMD, PLANNED MIXED USE DISTRICT, TO PERMIT UP TO 330 DWELLING UNITS AND 40,000 SQUARE FEET OF NON-RESIDENTIAL USES ON PROPERTIES IDENTIFIED AS GPINS 8392-95-9150, 8392-95-8090 AND 8392-95-6684. RIVERSIDE STATION LAND BAY B IS A REQUEST TO REZONE 12.95 ACRES FROM THE B-1, GENERAL BUSINESS, TO THE PMD, PLANNED MIXED USE DISTRICT, TO PERMIT UP TO 640 DWELLING UNITS AND 90,000 SQUARE FEET OF NON-RESIDENTIAL USES ON PROPERTIES IDENTIFIED AS GPINS 8392-96-9852 AND 8492-06-2030. ASSOCIATED WITH THESE REQUESTS ARE NUMEROUS WAIVERS AND MODIFICATIONS. COLLECTIVELY, THE TWO SITES ARE LOCATED IN THE NORTHWEST QUADRANT OF OCCOQUAN RD. AND JEFFERSON DAVIS HWY.  THE SITES ARE DESIGNATED TC, TOWN CENTER IN THE COMPREHENSIVE PLAN AND ARE LOCATED IN THE NORTH WOODBRIDGE SMALL AREA PLAN AND REDEVELOPMENT OVERLAY DISTRICT. WOODBRIDGE MAGISTERIAL DISTRICT",B-1,PMD,12.95,,,,640,,
REZ2022-00010,75924,,"KINGS CREST - TO REZONE 81.65 ACRES OF VACANT LAND FROM A-1, AGRICULTURAL, TO SR-1, SEMI-RURAL RESIDENTIAL DISTRICT TO ALLOW DEVELOPMENT OF 31 SINGLE-FAMILY DWELLINGS. THE SUBJECT PROPERTY IS LOCATED TO THE SOUTHEAST OF THE OCCOQUAN RIVER ALONG PRINCE WILLIAM PARKWAY WITH ONE SIDE OF THE PARCEL TO THE NORTH OF THE PARKWAY (SITE NORTH), AND ONE SIDE OF THE PARCEL TO THE SOUTH OF THE PARKWAY (SITE SOUTH); 330 FEET EAST OF THE INTERSECTION OF SR-29, FINGERLAKE WAY AND COLORIVER ROAD. IT IS ADDRESSED AS 6400 PRINCE WILLIAM PARKWAY; AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7994-70-7727. THE SITE IS DESIGNATED SRR, SEMI-RURAL RESIDENTIAL, IN THE COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE HIGHWAY CORRIDOR OVERLAY DISTRICT, DOMESTIC FOWL OVERLAY DISTRICT, AND RESOURCE PROTECTION AREA OVERLAY DISTRICT. OCCOQUAN AND COLES MAGISTERIAL DISTRICT.",A-1,SR-1,81.65,31,,,,,
REZ2022-00011,,,"EAST GATE APARTMENTS - TO REZONE 10.7 ACRES FROM R-4, SUBURBAN RESIDENTIAL, AND R-16, SUBURBAN RESIDENTIAL, TO R-30, URBAN RESIDENTIAL, TO DEVELOP UP TO AN ADDITIONAL 120 MULTI-FAMILY RESIDENTIAL UNITS, RESULTING IN 220 UNITS FOR THE OVERALL PROJECT.  THE SUBJECT PROPERTY IS LOCATED NORTH OF MEYERS ROAD, SOUTH OF C STREET, AND ALONG LOTUS COURT; AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 8188-55-8488, 8188-56-7718, 8188-56-8508, 8188-65-0493, 8188-66-2539, 8188-66-2905.  THE SITE IS CURRENTLY DESIGNATED URM, URBAN RESIDENTIAL MEDIUM, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE TRIANGLE STUDY AREA, TRIANGLE SMALL AREA PLAN, MCB QUANTICO SPECIAL PLANNING AREA, AND POTOMAC COMMUNITIES REVITALIZATION PLAN SPECIAL PLANNING AREA.  POTOMAC MAGISTERIAL DISTRICT","R-4, R-16",R-30,10.7,,,120,,,
REZ2022-00012,75380,,"CORNER PROPERTIES EQUIPMENT AND STORAGE - THIS IS A REQUEST TO REZONE 1.9907 ACRES FROM M-2, LIGHT INDUSTRIAL TO MT, INDUSTRIAL TRANSPORTATION. THE PROPOSAL IS FOR THE STORAGE OF VEHICLES, EQUIPMENT AND CONSTRUCTION MATERIALS.  THE SITE IS LOCATED AT THE INTERSECTION OF INDUSTRIAL ROAD AND HORNBAKER ROAD. THE PROPERTY IS IDENTIFIED ON COUNTY MAPS AS GPIN 7595-78-9620 AND IS ADDRESSED AS 9502 HORNBAKER ROAD. THE SITE IS ZONED M-2, LIGHT INDUSTRIAL AND IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN AND IS LOCATED IN THE AIRPORT SAFETY OVERLAY DISTRICT AND DATA CENTER OPPORTUNITY OVERLAY DISTRIC. BRENTSVILLE MAGISTERIAL DISTRICT",M-2,M/T,1.99,,,,,,
REZ2022-00013,74881,,"JKF - TO REZONE 3.64 ACRES FROM A-1, AGRICULTURAL, TO M-1, HEAVY INDUSTRIAL, TO ALLOW FOR THE DEVELOPMENT OF 50,000 SQUARE FOOT BUILDING FOR INDUSTRIAL USES. THE SUBJECT PROPERTY IS LOCATED ON THE NORTH SIDE OF BRADEN DRIVE AND ON THE NORTHWEST CORNER OF THE INTERSECTION OF BRADEN DRIVE AND HORNBAKER ROAD. IT IS ADDRESSED AS 11300 BRADEN DRIVE; AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7596-80-4477. THE SITE IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT, IN THE COMPREHENSIVE PLAN, AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT AND DATA CENTER OPPORTUNITY OVERLAY DISTRICT. BRENTSVILLE MAGISTERIAL DISTRICT.",A-1,M-1,3.64,,,,,,
REZ2022-00014,60606,,"HAYMARKET CROSSING II - TO REZONE 50.85 ACRES FROM PBD, PLANNED BUSINESS DISTRICT, TO PMR, PLANNED MIXED RESIDENTIAL, WITH ASSOCIATED DEVELOPMENT WAIVERS AND MODIFICATIONS, FOR A PLANNED MIXED RESIDENTIAL COMMUNITY, TO INCLUDE UP TO 334 AGE-RESTRICTED RESIDENTIAL UNITS (SINGLE-FAMILY ATTACHED AND MULTI-FAMILY).  THE SUBJECT PROPERTY IS LOCATED 0.45 MILES WEST OF THE INTERSECTION OF HEATHCOTE BLVD. AND JAMES MADISON HWY., AND TO THE NORTH OF INTERSTATE 66  THE SITE IS CURRENTLY ADDRESSED AS 15401 HEATHCOTE BLVD. AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7298-54-4528 (PORTION).  THE SITE IS CURRENTLY ZONED PBD, PLANNED BUSINESS DISTRICT, AND IS DESIGNATED REC, REGIONAL EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN.  THERE IS A CONCURRENT, PENDING COMPREHENSIVE PLAN LAND USE AMENDMENT REQUEST TO CHANGE THE PROPERTY TO HDN, HIGH DENSITY NEIGHBORHOOD, WHICH HAS NOT BEEN INITIATED.  GAINESVILLE MAGISTERIAL DISTRICT",PBD,PMR,50.85,,,,,,334
REZ2022-00015,,,"POTOMAC TECHNOLOGY PARK - THIS IS A REQUEST TO REZONE 51.667 ACRES FROM A-1, AGRICULTURE TO O(M), OFFICE MID-RISE DISTRICT TO DEVELOP THE PROPERTY WITH OFFICE OR DATA CENTER USES. THIS IS BEING CONCURRENTLY PROCESSED WITH A SPECIAL USE PERMIT TO ALLOW A DATA CENTER AND A SUBSTATION OUTSIDE OF THE DATA CENTER OPPORTUNITY ZONE OVERLAY DISTRICT. THE SITE IS LOCATED ON THE SOUTH SIDE OF DUMFRIES ROAD (ROUTE 234), 1,166 FT SOUTH OF EAST ALONG DUMFRIES ROAD FROM THE INTERSECTION OF BRISTOW ROAD AND DUMFRIES ROAD; IS IDENTIFIED ON COUNTY MAPS AS GPIN 7991-04-7237 AND IS ADDRESSED AS 14854 DUMFRIES ROAD. THE SITE IS ZONED A-1, AGRICULTURE, AND IS DESIGNATED PFO, PUBLIC FACILITY/OFFICE, ER, ENVIRONMENTAL RESOURCES, AND P&OS, PARKS AND OPEN SPACE IN THE COMPREHENSIVE PLAN AND IS LOCATED WITHIN THE INDEPENDENT HILL SMALL AREA PLAN, RESOURCE PROTECTION AREA OVERLAY DISTRICT, HIGHWAY CORRIDOR OVERLAY DISTRICT AND THE RURAL AREA BOUNDARY. POTOMAC MAGISTERIAL DISTRICT",A-1,O(M),51.667,,,,,,
REZ2022-00016,,,"PARKRIDGE CENTER - TO REZONE 44.34 ACRES FROM B-1, GENERAL BUSINESS, TO PMD, PLANNED MIXED USE DISTRICT, AND PMR, PLANNED MIXED RESIDENTIAL, TO ALLOW FOR THE DEVELOPMENT OF UP TO 363 PLANNED MIXED RESIDENTIAL UNITS (MULTI-FAMILY AND SINGLE-FAMILY ATTACHED) WITH SUPPORTIVE COMMERCIAL/RETAIL, AND WITH ASSOCIATED WAIVERS AND MODIFICATIONS.  THE SUBJECT PROPERTY IS LOCATED WEST OF THE SUDLEY ROAD (ROUTE 234) AND BATTLEVIEW PARKWAY INTERSECTION AND NORTH OF INTERSTATE 66.  THE SITE IS CURRENTLY ADDRESSED AS 10900 BULLOCH DRIVE AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7697-06-1083.  THE SITE IS ZONED B-1, GENERAL BUSINESS; IS DESIGNATED CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN; AND IS PARTIALLY LOCATED WITHIN THE ROUTE 234 (SUDLEY ROAD) HIGHWAY CORRIDOR OVERLAY DISTRICT.  THERE IS A CONCURRENT, PENDING LAND USE AMENDMENT REQUEST BEING EVALUATED AS PART OF THE LAND USE CHAPTER UPDATE AS PART OF THE COMPREHENSIVE PLAN UPDATE PROCESS.  GAINESVILLE MAGISTERIAL DISTRICT",B-1,"PMD, PMR",44.34,,,,363,,
REZ2022-00017,,,"ALAROSA COMMUNITY BUSINESS PARK - THIS IS A REQUEST REZONE 10.13 ACRES FROM A-1, AGRICULTURE TO B-2, NEIGHBORHOOD BUSINESS DISTRICT.  THE SITE IS LOCATED 750 FT. WEST OF ADEN ROAD AND 850 FT. EAST OF HOOKER LANE ; IS IDENTIFIED ON COUNTY MAPS AS GPIN 7493-77-4019 AND IS ADDRESSED AS 12625 FITZWATER DRIVE. THE SITE IS ZONED A-1, AGRICULTURE, AND IS DESIGNATED AE, AGRICULTURAL OR ESTATE IN THE COMPREHENSIVE PLAN AND IS LOCATED WITHIN THE NOKESVILLE SECTOR PLAN, DOMESTIC FOWL OVERLAY DISTRICT, AND THE RURAL AREA OVERLAY BOUNDARY. BRENTSVILLE MAGISTERIAL DISTRICT",A-1,B-2,10.1,,,,,,
REZ2022-00020,75417,,"TOWNS AT DALE WOODS - TO REZONE 4.0505 ACRES FROM RPC, RESIDENTIAL PLANNED COMMUNITY, CHURCH TO RPC, RESIDENTIAL PLANNED COMMUNITY, RESIDENTIAL, TO ALLOW FOR THE DEVELOPMENT OF UP TO 25 SINGLE-FAMILY ATTACHED DWELLING UNITS. THE SUBJECT PROPERTY IS LOCATED ON THE NORTH SIDE OF DALE BLVD, APPROXIMATELY 1,327 FT. WEST OF THE INTERSECTION OF NOTTINGDALE DR. AND DALE BLVD., IS CURRENTLY ADDRESSED AS 5890 DALE BLVD., AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 8092-28-0611. THE SITE IS CURRENTLY ZONED RPC, RESIDENTIAL PLANNED COMMUNITY, CHURCH; IS DESIGNATED RPC, RESIDENTIAL PLANNED COMMUNITY, AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN; AND IS PARTIALLY LOCATED WITHIN THE HIGHWAY CORRIDOR OVERLAY DISTRICT.  NEABSCO MAGISTERIAL DISTRICT",RPC,RPC,4.05,,25,,,,
REZ2022-00021,75929,,"INTERSTATE DRIVE REZONING -TO REZONE 21.05 ACRES FROM A-1, AGRICULTURAL TO M-2, LIGHT INDUSTRIAL, TO ALLOW FOR THE DEVELOPMENT OF LIGHT INDUSTRIAL USES. THE SUBJECT PROPERTY IS LOCATED ON THE EAST SIDE OF I-95, APPROXIMATELY 0.8 MILES FROM INTERSECTION OF INTERSTATE DR. AND DUMFRIES RD. IT IS ADDRESSED AS 16781 INTERSTATE DR. AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 8290-10-4824. THE SITE IS DESIGNATED FEC, FLEXIBLE USE EMPLOYMENT, AND ER, ENVIRONMENTAL RESOURCE AND IT IS LOCATED WITHIN THE POTOMAC COMMUNITIES REVITALIZATION PLAN. POTOMAC MAGISTERIAL DISTRICT",A-1,M-2,21.05,,,,,,
REZ2022-00022,,,"DEVLIN TECHNOLOGY PARK -TO REZONE 269.85 ACRES FROM PMR, PLANNED MIXED RESIDENTIAL, TO M-2, LIGHT INDUSTRIAL, TO ALLOW FOR DEVELOPMENT OF UP TO 4.25 MILLION SQUARE FEET OF DATA CENTER SPACE, TO INCLUDE NEW ELECTRIC SUBSTATION(S), ASSOCIATED INCREASES IN BUILDING HEIGHT AND FLOOR AREA RATIO (FAR), AND AN EXTENSION OF THE DATA CENTER OPPORTUNITY ZONE OVERLAY DISTRICT.  THE PROPERTY IS LOCATED ON THE WESTERN SIDE OF DEVLIN RD., NORTH OF LINTON HALL RD., AND WEST AND SOUTHWEST OF THE TERMINUS OF FOG LIGHT WAY.  THE SITE IS CURRENTLY ADDRESSED AS 9000 DEVLIN RD., 8900 DEVLIN RD., AND 12615 FOG LIGHT WAY; AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 7496-51-8372, 7496-63-4146, AND 7496-65-8860.  THE SITE IS CURRENTLY DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN; AND IS PARTIALLY LOCATED WITHIN THE AIRPORT SAFETY OVERLAY.  (CONCURRENTLY BEING PROCESSED WITH #CPA2022-00015.)  NOTE, THE DATA CENTER OVERLAY IS CURRENTLY BEING EVALUATED IN THE DATA CENTER OPPORTUNITY ZONE OVERLAY DISTRICT COMPREHENSIVE REVIEW.  REFER TO HTTPS://WWW.PWCVA.GOV/DATACENTEROVERLAY.  BRENTSVILLE MAGISTERIAL DISTRICT",PMR,M-2,269.85,,,,,,
REZ2022-00024,,,"THIS IS A REQUEST TO REZONE 3.38 ACRES FROM A-1, AGRICULTURAL, TO B-1, GENERAL BUSINESS, AND TO AMEND THE PROFFERS ASSOCIATED WITH #REZ2020-00003 ON 1.10 ACRES, TO ALLOW FOR THE DEVELOPMENT OF A NEW COMMERCIAL/RETAIL CENTER, TO INCLUDE 2 COMMERCIAL BUILDINGS, A DRIVE-THROUGH FACILITY ASSOCIATED WITH A RESTAURANT, AND SIGNAGE MODIFICATIONS.  THE 4.48-ACRE PROJECT AREA IS LOCATED SOUTH OF LEE HIGHWAY (RT. 29), 500 FEET WEST OF THE LEE HIGHWAY AND BALTUSROL BLVD. INTERSECTION, AND OPPOSITE/SOUTH OF THE INTERSECTION WITH CARVER RD.  THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 7397-01-0983, 7397-01-2696, AND 7297-91-9580; AND IS CURRENTLY ADDRESSED AS 14813, 14809, AND 14825 LEE HIGHWAY, RESPECTIVELY.  THE SITE IS DESIGNATED CEC, COMMUNITY EMPLOYMENT CENTER, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE PENDING ROUTE 29 SMALL AREA PLAN, I-66 / ROUTE 29 SECTOR PLAN SPECIAL PLANNING AREA, AND WITHIN THE LEE HIGHWAY (ROUTE 29) HIGHWAY CORRIDOR OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT",A-1,B-1,3.38,,,,,,
REZ2022-00027,,,"OAKMONT: THIS IS A REQUEST TO REZONE 2.94 ACRES FROM A-1, AGRICULTURAL, TO R-4, SUBURBAN RESIDENTIAL, TO ALLOW FOR THE DEVELOPMENT OF 4 SINGLE-FAMILY DWELLING UNITS.  THE PROPERTY IS LOCATED ON THE WEST SIDE OF JAMES MADISON HIGHWAY (ROUTE 15), APPROXIMATELY 75 FEET NORTH OF ITS INTERSECTION WITH STEPPING STONE DRIVE AND NORTHWEST OF OLD CAROLINA ROAD.  THE SITE IS ADDRESSED AS 6100 JAMES MADISON HIGHWAY AND IS IDENTIFIED ON COUNTY MAPS AS GPIN 7298-95-4658.  THE SITE IS CURRENTLY ZONED A-1, AGRICULTURAL, AND IS DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT AND PARTIALLY LOCATED WITHIN THE JAMES MADISON HIGHWAY CORRIDOR OVERLAY DISTRICT.  GAINESVILLE MAGISTERIAL DISTRICT",A-1,R-4,2.94,4,,,,,
REZ2022-00030,,,"BRISTOW CAMPUS - TO REZONE 59.6 ACRES FROM A-1, AGRICULTURAL, TO PBD, PLANNED BUSINESS DEVELOPMENT, IMPLEMENTED WITH THE O(H), OFFICE HIGH-RISE, AND M-2, LIGHT INDUSTRIAL, ZONING DISTRICTS, FOR THE PURPOSE OF DEVELOPING A DATA CENTER CAMPUS, AND WITH ASSOCIATED WAIVERS AND MODIFICATIONS.  (CONCURRENTLY BEING PROCESSED WITH SUP2022-00034, BRISTOW CAMPUS). THE PROJECT AREA IS LOCATED 1,400 FEET WEST OF THE NOKESVILLE ROAD AND PIPER LANE INTERSECTION, ON THE NORTH SIDE NOKESVILLE ROAD, AND WEST OF BROAD RUN.  THE SITE IS IDENTIFIED ON COUNTY MAPS AS GPINS 7595-52-6983, 7595-52-7248, 7595-52-9785, 7595-62-1147, 7595-62-8547, AND 7595-63-4137; AND IS CURRENTLY ADDRESSED AS 11479, 11480, 11500, 11520, 11530, AND 11540 NOKESVILLE RD.  THE SITE IS CURRENTLY DESIGNATED GC, GENERAL COMMERCIAL, O, OFFICE, AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT AND PARTIALLY WITHIN THE NOKESVILLE ROAD (ROUTE 28) HIGHWAY CORRIDOR OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT",A-1,PBD,59.6,,,,,,
REZ2022-00031,,,"VULCAN DATA CENTER - THIS IS A REQUEST TO REZONE 51.85 ACRES FROM A-1, AGRICULTURAL AND R-6 TO M/T, INDUSTRIAL/TRANSPORTATION, AND INCLUDES HEIGHT MODIFICATION OF UP TO 110 FT. TO ALLOW FOR DATA CENTER USES.  THE PROPERTY IS LOCATED WEST OF ASHTON AVE, NORTH OF THE INTERSECTION WITH RIXLEW LN AND TO THE WEST IS ALSO THE VULCAN QUARRY PROPERTY; IS IDENTIFIED ON COUNTY MAPS AS GPINS 7696-45-2008 AND 7696-37-0003 AND IS ADDRESSED AS 8501 AND 8401 VULCAN LN.  THE SITE IS DESIGNATED EI, INDUSTRIAL EMPLOYMENT AND SRM, SUBURBAN RESIDENTIAL MEDIUM, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE DATA CENTER OPPORTUNITY OVERLAY DISTRICT. BRENTSVILLE MAGISTERIAL DISTRICT","A-1, R-6",M/T,51.85,,,,,,
REZ2022-00032,,,"DIGITAL GATEWAY NORTH - THIS IS A REQUEST TO REZONE 534 ACRES FROM A-1, AGRICULTURAL, TO PBD, PLANNED BUSINESS DISTRICT IMPLEMENTED WITH THE O(H), OFFICE HIGH-RISE DISTRICT, TO ALLOW FOR DATA CENTERS AND SUPPORTING FACILITIES, INCLUDING A MAXIMUM OF 10 PERCENT SECONDARY OFFICE AND ANCILLARY USES. AS PART OF THE REQUEST THE APPLICANT IS SEEKING ASSOCIATED WAIVERS AND MODIFICATIONS. THE SUBJECT PROPERTIES ARE LOCATED ON BOTH THE EAST AND THE WEST SIDE OF PAGELAND LANE, TO THE SOUTH OF CATHARPIN RECREATIONAL PARK AND SUDLEY ROAD, AND NORTH OF THORNTON DRIVE, AND EAST OF CATHARPIN VALLEY DRIVE. THE SUBJECT PROPERTIES ARE IDENTIFIED ON COUNTY MAPS AS GPINS 7499-51-0789, 7499-50-2914, 7499-62-5386, 7499-82-1020, 7499-70-3896, 7499-81-6203, 7499-83-9783, 7499-83-4804, 7499-92-7290, 7499-73-5646 ,7499-84-0870, 7499-72-1255, 7499-94-6530, 7499-84-7796, 7499-85-6806, 7599-04-3214, 7599-14-2313, 7599-13-0663. THE SITE IS DESIGNATED I-3, TECHNOLOGY/FLEX AND POS, PARKS AND OPEN SPACE IN THE COMPREHENSIVE PLAN AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT AND THE ENVIRONMENTAL RESOURCE PROTECTION OVERLAY DISTRICT. THE SITE IS ALSO SUBJECT TO THE ADOPTED COMPREHENSIVE PLAN AMENDMENT CPA2021-00004, PW DIGITAL GATEWAY. GAINESVILLE MAGISTERIAL DISTRICT",A-1,PBD,534,,,,,,
REZ2022-00033,,,"DIGITAL GATEWAY SOUTH - THIS IS A REQUEST TO REZONE 342 ACRES FROM A-1, AGRICULTURAL, TO PBD, PLANNED BUSINESS DISTRICT IMPLEMENTED WITH THE O(M), OFFICE MID-RISE DISTRICT, TO ALLOW FOR DATA CENTERS AND SUPPORTING FACILITIES, INCLUDING A MAXIMUM OF 10 PERCENT SECONDARY OFFICE USE AND ANCILLARY USES. AS PART OF THE REQUEST THE APPLICANT IS SEEKING ASSOCIATED WAIVERS AND MODIFICATIONS. THE SUBJECT PROPERTIES ARE LOCATED ON BOTH THE EAST AND THE WEST SIDE OF PAGELAND LANE, TO THE NORTHWEST OF MANASSAS NATIONAL BATTLEFIELD PARK, NORTHEAST OF CONWAY ROBINSON MEMORIAL STATE FOREST, EAST OF HERITAGE HUNT GOLF AND COUNTRY CLUB, AND APPROXIMATELY  MILES NORTH OF ROUTE 29/LEE HIGHWAY. THE SUBJECT PROPERTIES ARE IDENTIFIED ON COUNTY MAPS AS GPINS 7498-42-6117, 7498-51-1835, 7498-74-6800, 7498-74-3579, 7498-83-1842, 7498-83-1869, 7498-83-6698, 7498-93-5350, 7498-94-5907, 7498-93-7484, 7498-84-6051, 7498-85-3325, 7498-85-7316, 7498-94-1180, 7598-13-2096. THE SITE IS DESIGNATED I-3, TECHNOLOGY/FLEX AND POS, PARKS AND OPEN SPACE IN THE COMPREHENSIVE PLAN AND IS LOCATED WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT AND THE ENVIRONMENTAL RESOURCE PROTECTION OVERLAY DISTRICT.  THE SITE IS ALSO SUBJECT TO THE ADOPTED COMPREHENSIVE PLAN AMENDMENT CPA2021-00004, PW DIGITAL GATEWAY. GAINESVILLE MAGISTERIAL DISTRICT",A-1,PBD,342,,,,,,
REZ2022-00034,,,,,,,,,,,,
REZ2022-00035,,,"GRAYSON OVERLOOK - THIS IS A REQUEST TO REZONE 80.79 ACRES FROM A-1, AGRICULTURAL, TO PMR, PLANNED MIXED RESIDENTIAL, RESIDENTIAL, AND WITH ASSOCIATED DEVELOPMENT WAIVERS AND MODIFICATIONS, TO ALLOW FOR THE DEVELOPMENT OF UP TO 225 SINGLE-FAMILY DETACHED RESIDENTIAL UNITS.  THE SUBJECT PROPERTY IS LOCATED SOUTHEAST OF THE INTERSECTION OF THOROUGHFARE ROAD AND OLD CAROLINA ROAD, AND EAST OF THE INTERSECTION OF ALLAIRE DRIVE AND OLD CAROLINA ROAD.  THE SITE IS CURRENTLY ADDRESSED AS 7505, 7511, AND 7611 OLD CAROLINA ROAD AND 15112 LEE HIGHWAY, AND IS IDENTIFIED ON COUNTY MAPS AS GPINS 7297-52-6431, 7297-61-3883, 7297-62-5865, AND 7297-63-8136.  THE SITE IS ZONED A-1, AGRICULTURAL; IS DESIGNATED SRL, SUBURBAN RESIDENTIAL LOW, AND ER, ENVIRONMENTAL RESOURCE, IN THE COMPREHENSIVE PLAN; AND IS LOCATED WITHIN THE PENDING ROUTE 29 SMALL AREA PLAN AND I-66 / ROUTE 29 SECTOR PLAN SPECIAL PLANNING AREA, AND IS PARTIALLY LOCATED WITHIN THE LEE HIGHWAY (ROUTE 29) CORRIDOR OVERLAY DISTRICT.  BRENTSVILLE MAGISTERIAL DISTRICT",A-1,PMR,80.79,225,,,,,
REZ2022-00036,,,"COMPASS DATACENTERS PRINCE WILLIAM COUNTY CAMPUS 1- THIS IS A REQUEST TO REZONE 884 ACRES FROM A-1, AGRICULTURAL AND A FEW PROPERTIES SR-5, TO PBD, PLANNED BUSINESS DISTRICT, IMPLEMENTED WITH THE O(H), OFFICE HIGH-RISE DISTRICT, O(F) OFFICE/FLEX DISTRICT, O(M), OFFICE MID-RISE DISTRICT, AND M-2, LIGHT INDUSTRIAL DISTRICT, TO ALLOW FOR DATA CENTERS AND ACCESSORY USES. AS PART OF THE REQUEST THE APPLICANT IS SEEKING ASSOCIATED WAIVERS AND MODIFICATIONS. THE SUBJECT PROPERTIES ARE COMPRISED OF 103 PARCELS, WHICH ARE GENERALLY LOCATED ON BOTH THE EAST AND THE WEST SIDE OF PAGELAND LANE, TO THE NORTHWEST OF MANASSAS NATIONAL BATTLEFIELD PARK, NORTHEAST OF CONWAY ROBINSON MEMORIAL STATE FOREST, EAST OF HERITAGE HUNT GOLF AND COUNTRY CLUB, AND APPROXIMATELY 1 MILE NORTH OF ROUTE 29/LEE HIGHWAY. THE SITE IS DESIGNATED I-3, TECHNOLOGY/FLEX, POS, PARKS IN OPEN SPACE AND ERPO, ENVIRONMENTAL RESOURCE PROTECTION OVERLAY IN THE COMPREHENSIVE PLAN AND IS LOCATED PARTIALLY WITHIN THE AIRPORT SAFETY OVERLAY DISTRICT. THE SITE IS ALSO SUBJECT TO THE ADOPTED COMPREHENSIVE PLAN AMENDMENT CPA2021-00004, PW DIGITAL GATEWAY. GAINESVILLE MAGISTERIAL DISTRICT",A-1,PBD,,884,,,,,
